epoch,epoch_time,lr-SparseLamb/pg1,lr-SparseLamb/pg2,step,train_loss,val_loss,val_r2
,,0.002,0.002,217,,,
0,,,,217,5.043843746185303,,
,,0.002,0.002,218,,,
0,,,,218,3.1764042377471924,,
,,0.002,0.002,219,,,
0,,,,219,3.226179838180542,,
,,0.002,0.002,220,,,
0,,,,220,3.719947338104248,,
,,0.002,0.002,221,,,
0,,,,221,1.7422987222671509,,
,,0.002,0.002,222,,,
0,,,,222,4.087916374206543,,
,,0.002,0.002,223,,,
0,,,,223,1.8586345911026,,
,,0.002,0.002,224,,,
0,,,,224,4.054329872131348,,
,,0.002,0.002,225,,,
0,,,,225,5.102129936218262,,
,,0.002,0.002,226,,,
0,,,,226,3.255291223526001,,
,,0.002,0.002,227,,,
0,,,,227,9.783282279968262,,
,,0.002,0.002,228,,,
0,,,,228,3.2296817302703857,,
,,0.002,0.002,229,,,
0,,,,229,2.878133773803711,,
,,0.002,0.002,230,,,
0,,,,230,4.992211818695068,,
,,0.002,0.002,231,,,
0,,,,231,3.8841512203216553,,
,,0.002,0.002,232,,,
0,,,,232,4.644051551818848,,
,,0.002,0.002,233,,,
0,,,,233,5.1550750732421875,,
,,0.002,0.002,234,,,
0,,,,234,4.665807247161865,,
,,0.002,0.002,235,,,
0,,,,235,5.08953332901001,,
,,0.002,0.002,236,,,
0,,,,236,10.83558177947998,,
,,0.002,0.002,237,,,
0,,,,237,2.9621055126190186,,
,,0.002,0.002,238,,,
0,,,,238,2.77243971824646,,
,,0.002,0.002,239,,,
0,,,,239,6.667759418487549,,
,,0.002,0.002,240,,,
0,,,,240,4.425824165344238,,
,,0.002,0.002,241,,,
0,,,,241,14.096268653869629,,
,,0.002,0.002,242,,,
0,,,,242,1.800233244895935,,
,,0.002,0.002,243,,,
0,,,,243,2.2835075855255127,,
,,0.002,0.002,244,,,
0,,,,244,3.5215959548950195,,
,,0.002,0.002,245,,,
0,,,,245,3.6911582946777344,,
,,0.002,0.002,246,,,
0,,,,246,1.710171103477478,,
,,0.002,0.002,247,,,
0,,,,247,3.571308135986328,,
,,0.002,0.002,248,,,
0,,,,248,3.3765299320220947,,
,,0.002,0.002,249,,,
0,,,,249,3.6667850017547607,,
,,0.002,0.002,250,,,
0,,,,250,2.2780380249023438,,
,,0.002,0.002,251,,,
0,,,,251,3.0295214653015137,,
,,0.002,0.002,252,,,
0,,,,252,4.080539703369141,,
,,0.002,0.002,253,,,
0,,,,253,2.7621028423309326,,
,,0.002,0.002,254,,,
0,,,,254,4.821181774139404,,
,,0.002,0.002,255,,,
0,,,,255,3.939234495162964,,
,,0.002,0.002,256,,,
0,,,,256,4.101573467254639,,
,,0.002,0.002,257,,,
0,,,,257,4.464340686798096,,
,,0.002,0.002,258,,,
0,,,,258,5.151518821716309,,
,,0.002,0.002,259,,,
0,,,,259,2.7937631607055664,,
,,0.002,0.002,260,,,
0,,,,260,2.6312010288238525,,
,,0.002,0.002,261,,,
0,,,,261,3.8114547729492188,,
,,0.002,0.002,262,,,
0,,,,262,5.6752800941467285,,
,,0.002,0.002,263,,,
0,,,,263,2.8471922874450684,,
,,0.002,0.002,264,,,
0,,,,264,3.3058509826660156,,
,,0.002,0.002,265,,,
0,,,,265,2.5800561904907227,,
,,0.002,0.002,266,,,
0,,,,266,3.100173234939575,,
,,0.002,0.002,267,,,
0,,,,267,2.8010168075561523,,
,,0.002,0.002,268,,,
0,,,,268,2.578585147857666,,
,,0.002,0.002,269,,,
0,,,,269,2.99993896484375,,
,,0.002,0.002,270,,,
0,,,,270,3.482396364212036,,
,,0.002,0.002,271,,,
0,,,,271,2.3564870357513428,,
,,0.002,0.002,272,,,
0,,,,272,1.9951180219650269,,
,,0.002,0.002,273,,,
0,,,,273,3.8247427940368652,,
,,0.002,0.002,274,,,
0,,,,274,3.969748020172119,,
,,0.002,0.002,275,,,
0,,,,275,3.4759511947631836,,
,,0.002,0.002,276,,,
0,,,,276,3.4030048847198486,,
,,0.002,0.002,277,,,
0,,,,277,3.276834726333618,,
,,0.002,0.002,278,,,
0,,,,278,3.5173943042755127,,
,,0.002,0.002,279,,,
0,,,,279,3.5945279598236084,,
,,0.002,0.002,280,,,
0,,,,280,2.5613033771514893,,
,,0.002,0.002,281,,,
0,,,,281,3.3030526638031006,,
,,0.002,0.002,282,,,
0,,,,282,2.217280387878418,,
,,0.002,0.002,283,,,
0,,,,283,2.730391502380371,,
,,0.002,0.002,284,,,
0,,,,284,2.8011224269866943,,
,,0.002,0.002,285,,,
0,,,,285,3.9102914333343506,,
,,0.002,0.002,286,,,
0,,,,286,4.6940836906433105,,
,,0.002,0.002,287,,,
0,,,,287,2.9197475910186768,,
,,0.002,0.002,288,,,
0,,,,288,3.575850486755371,,
,,0.002,0.002,289,,,
0,,,,289,7.755518436431885,,
,,0.002,0.002,290,,,
0,,,,290,3.264518976211548,,
,,0.002,0.002,291,,,
0,,,,291,4.650239944458008,,
,,0.002,0.002,292,,,
0,,,,292,2.617375135421753,,
,,0.002,0.002,293,,,
